Country,Year,fertility,life,population,child_mortality,gdp,region
Burundi,1970,7.311,43.833,3513499.0,247.6,782.0,Sub-Saharan Africa
Cambodia,1970,6.475,41.662,6937996.0,225.64,1643.0,East Asia & Pacific
Cameroon,1970,6.205,46.103,6841763.0,212.8,2169.0,Sub-Saharan Africa
Canada,1970,2.311,72.65,21716855.0,22.0,19842.0,America
Cape Verde,1970,6.935,52.213,274282.0,164.3,942.0,Sub-Saharan Africa
Central African Rep.,1970,5.954,41.948,1828709.0,,,Sub-Saharan Africa
Chad,1970,6.528,41.331,3655905.0,259.62,1338.0,Sub-Saharan Africa
Channel Islands,1970,2.121,71.82300000000001,121126.0,,,Europe & Central Asia
Chile,1970,4.023,62.023999999999994,9577572.0,79.6,7382.0,America
China,1970,5.746,62.6508,814622841.0,113.3,848.0,East Asia & Pacific
Colombia,1970,5.599,60.903,21329811.0,97.6,4325.0,America
Comoros,1970,7.061,47.717,238032.0,227.1,1425.0,Sub-Saharan Africa
"Congo, Dem. Rep.",1970,6.2139999999999995,43.917,20267009.0,248.1,2094.0,Sub-Saharan Africa
Costa Rica,1970,5.012,66.792,1820379.0,76.4,5723.0,America
Cote d'Ivoire,1970,7.9079999999999995,43.692,5416416.0,240.6,3798.0,Sub-Saharan Africa
Croatia,1970,2.0069999999999997,68.381,4169217.0,39.55,11777.0,Europe & Central Asia
Cuba,1970,4.033,69.811,8701886.0,43.1,8918.0,America
Cyprus,1970,2.61,72.57600000000001,613735.0,35.97,8344.0,Europe & Central Asia
Czech Rep.,1970,2.045,69.53,9788863.0,,,Europe & Central Asia
Denmark,1970,1.95,73.38,4928704.0,16.6,21990.0,Europe & Central Asia
Djibouti,1970,6.803999999999999,49.16,161622.0,186.95,4357.0,Middle East & North Africa
Dominican Rep.,1970,6.182,58.465,4511577.0,,,America
Ecuador,1970,6.127999999999999,57.791000000000004,5972464.0,138.0,5723.0,America
Egypt,1970,5.94,52.178999999999995,35923283.0,242.9,3055.0,Middle East & North Africa
El Salvador,1970,6.202999999999999,56.498000000000005,3736311.0,155.1,4810.0,America
Equatorial Guinea,1970,5.678,39.753,290907.0,239.18,1193.0,Sub-Saharan Africa
Eritrea,1970,6.65,40.529,1847000.0,221.4,1037.0,Sub-Saharan Africa
Estonia,1970,2.097,70.39,1365002.0,27.16,9721.0,Europe & Central Asia
Ethiopia,1970,6.978,42.949,28959382.0,241.1,778.0,Sub-Saharan Africa
Fiji,1970,4.543,59.857,520555.0,55.3,4384.0,East Asia & Pacific
Finland,1970,1.83,70.36,4605998.0,16.1,16245.0,Europe & Central Asia
France,1970,2.488,72.16,50763212.0,18.2,18185.0,Europe & Central Asia
French Guiana,1970,4.6530000000000005,65.337,48561.0,,,America
French Polynesia,1970,5.0569999999999995,60.184,110872.0,,,East Asia & Pacific
Gabon,1970,5.081,46.67,529526.0,185.03,4656.0,Sub-Saharan Africa
Gambia,1970,6.093,37.824,458663.0,302.6,1478.0,Sub-Saharan Africa
Georgia,1970,2.595,67.456,4707491.0,75.77,5212.0,Europe & Central Asia
Germany,1970,2.042,70.7041569934,78169287.0,25.7,21218.0,Europe & Central Asia
Ghana,1970,6.95,49.339,8681818.0,201.9,2455.0,Sub-Saharan Africa
Greece,1970,2.364,70.949,8793002.0,37.5,12366.0,Europe & Central Asia
Greenland,1970,3.9,65.5261008268,46431.0,,9961.0,Europe & Central Asia
Grenada,1970,4.604,63.843,94393.0,84.31,2658.0,America
Guadeloupe,1970,4.933,64.982,320063.0,,,America
Guam,1970,4.372,65.66199999999999,85459.0,,,East Asia & Pacific
Guatemala,1970,6.235,52.041000000000004,5447687.0,174.1,4606.0,America
Guinea,1970,6.195,36.656,4153653.0,327.2,966.0,Sub-Saharan Africa
Guinea-Bissau,1970,6.071000000000001,44.053999999999995,602916.0,265.53,1756.0,Sub-Saharan Africa
Guyana,1970,5.0680000000000005,59.446999999999996,720738.0,73.9,3905.0,America
Haiti,1970,5.7620000000000005,47.20399999999999,4709644.0,245.1,1970.0,America
Honduras,1970,7.27,52.51,2688208.0,147.9,2771.0,America
"Hong Kong, China",1970,3.4210000000000003,71.892,3958092.0,,8596.0,East Asia & Pacific
Hungary,1970,2.03,69.24,10315420.0,42.7,12917.0,Europe & Central Asia
Iceland,1970,3.031,73.81,204101.0,15.8,14937.0,Europe & Central Asia
India,1970,5.494,48.836000000000006,553873890.0,213.3,1170.0,South Asia
Indonesia,1970,5.474,52.388000000000005,118361740.0,165.6,2082.0,East Asia & Pacific
Iran,1970,6.44,50.856,28662011.0,202.23,10467.0,Middle East & North Africa
Iraq,1970,7.362,58.199,10021785.0,115.0,7555.0,Middle East & North Africa
Ireland,1970,3.813,70.89,2963020.0,22.2,11551.0,Europe & Central Asia
Israel,1970,3.8169999999999997,71.185,2849534.0,29.43,11062.0,Middle East & North Africa
Italy,1970,2.469,71.66,53324772.0,33.6,16450.0,Europe & Central Asia
Jamaica,1970,5.477,68.259,1869031.0,57.8,7880.0,America
Japan,1970,2.101,72.07,103710287.0,17.5,14203.0,East Asia & Pacific
Jordan,1970,7.926,60.17100000000001,1666920.0,90.1,4478.0,Middle East & North Africa
Kazakhstan,1970,3.5380000000000003,62.542,13109992.0,87.52,11864.0,Europe & Central Asia
Kenya,1970,8.081,52.217,11252318.0,147.4,1948.0,Sub-Saharan Africa
Kiribati,1970,6.051,51.422,43891.0,140.0,3136.0,East Asia & Pacific
"Korea, Dem. Rep.",1970,4.327,59.656000000000006,14246772.0,,,East Asia & Pacific
"Korea, Rep.",1970,4.527,61.17100000000001,31443029.0,,,East Asia & Pacific
Kuwait,1970,7.2410000000000005,65.857,753142.0,70.9,54023.0,Middle East & North Africa
Kyrgyzstan,1970,4.8919999999999995,60.498999999999995,2964499.0,,,Europe & Central Asia
Laos,1970,5.974,46.256,2691207.0,,,East Asia & Pacific
Latvia,1970,1.91,70.23,2365705.0,27.14,7706.0,Europe & Central Asia
Lebanon,1970,4.948,66.067,2464286.0,62.7,11978.0,Middle East & North Africa
Lesotho,1970,5.808,49.031000000000006,1033044.0,177.0,742.0,Sub-Saharan Africa
Liberia,1970,6.695,39.254,1439677.0,286.3,1486.0,Sub-Saharan Africa
Libya,1970,7.867000000000001,56.052,1994000.0,137.8,67491.0,Middle East & North Africa
Lithuania,1970,2.3080000000000003,71.08,3137113.0,25.4,13539.0,Europe & Central Asia
Luxembourg,1970,1.96,69.58,339184.0,22.4,29363.0,Europe & Central Asia
"Macao, China",1970,2.166,69.19800000000001,250995.0,,14945.0,East Asia & Pacific
"Macedonia, FYR",1970,2.98,66.301,1567968.0,122.21,6221.0,Europe & Central Asia
Madagascar,1970,7.325,44.771,6548922.0,151.9,2509.0,Sub-Saharan Africa
Malawi,1970,7.303999999999999,40.64,4531280.0,342.0,489.0,Sub-Saharan Africa
Malaysia,1970,4.872,64.446,10909353.0,55.8,4051.0,East Asia & Pacific
Maldives,1970,7.227,44.153,115772.0,260.9,1404.0,South Asia
Mali,1970,6.901,32.388000000000005,6034022.0,400.0,844.0,Sub-Saharan Africa
Malta,1970,1.975,70.515,303607.0,27.8,4631.0,Europe & Central Asia
Martinique,1970,4.613,65.986,325561.0,,,America
Mauritania,1970,6.784,49.13,1133539.0,193.9,2964.0,Sub-Saharan Africa
Mauritius,1970,3.952,63.223,826862.0,82.9,3023.0,Sub-Saharan Africa
Mayotte,1970,7.912000000000001,62.364,36755.0,,,Sub-Saharan Africa
Mexico,1970,6.72,61.369,51868335.0,108.6,8757.0,America
"Micronesia, Fed. Sts.",1970,6.938,61.63399999999999,61431.0,92.23,1738.0,East Asia & Pacific
Moldova,1970,2.582,65.045,3594501.0,67.55,5212.0,Europe & Central Asia
Mongolia,1970,7.569,55.363,1281535.0,200.65,1695.0,East Asia & Pacific
Montenegro,1970,2.6889999999999996,69.869,518727.0,52.38,10228.0,Europe & Central Asia
Morocco,1970,6.687,52.576,15309995.0,188.7,2411.0,Middle East & North Africa
Mozambique,1970,6.591,39.247,9453385.0,273.8,703.0,Sub-Saharan Africa
Myanmar,1970,5.959,50.988,26164131.0,179.2,1438.0,East Asia & Pacific
Namibia,1970,6.459,52.568000000000005,780386.0,96.6,5981.0,Sub-Saharan Africa
Nepal,1970,5.971,42.428000000000004,11917872.0,267.6,1036.0,South Asia
Netherlands,1970,2.57,73.6,12958757.0,15.8,19800.0,Europe & Central Asia
Netherlands Antilles,1970,2.91,69.21600000000001,159179.0,,,America
New Caledonia,1970,5.303999999999999,62.422,105134.0,,,East Asia & Pacific
New Zealand,1970,2.9493400000000003,71.33,2819597.0,20.8,19200.0,East Asia & Pacific
Nicaragua,1970,6.892,53.681000000000004,2398160.0,171.4,6031.0,America
Niger,1970,7.422000000000001,36.3,4372957.0,327.0,1376.0,Sub-Saharan Africa
Nigeria,1970,6.471,37.0,57357275.0,284.9,3483.0,Sub-Saharan Africa
Norway,1970,2.5,74.08,3877383.0,16.2,22186.0,Europe & Central Asia
Oman,1970,7.311,50.31,731703.0,227.6,19472.0,Middle East & North Africa
Pakistan,1970,6.601,53.482,59382651.0,188.8,1758.0,South Asia
Panama,1970,5.172999999999999,65.518,1509822.0,67.7,6345.0,America
Papua New Guinea,1970,6.162999999999999,46.011,2434698.0,144.4,1774.0,East Asia & Pacific
Paraguay,1970,5.739,65.487,2482508.0,78.0,3487.0,America
Peru,1970,6.307,53.455,13187182.0,163.8,6719.0,America
Philippines,1970,6.263999999999999,60.832,35451392.0,84.0,3132.0,East Asia & Pacific
Poland,1970,2.229,69.87,32529022.0,36.3,8705.0,Europe & Central Asia
Portugal,1970,2.9939999999999998,67.17,8684237.0,68.2,10175.0,Europe & Central Asia
Puerto Rico,1970,3.1460000000000004,71.58,2715540.0,,15220.0,America
Qatar,1970,6.917999999999999,68.343,108401.0,66.2,158673.0,Middle East & North Africa
Reunion,1970,4.765,63.059,462096.0,,,Sub-Saharan Africa
Russia,1970,1.995,68.86,130391798.0,44.2,14915.0,Europe & Central Asia
Rwanda,1970,8.231,44.402,3748672.0,218.2,691.0,Sub-Saharan Africa
Saint Lucia,1970,6.101,63.016999999999996,104101.0,,,America
Saint Vincent and the Grenadines,1970,6.013999999999999,65.101,90465.0,,,America
Samoa,1970,7.194,54.777,142354.0,137.54,3748.0,East Asia & Pacific
Sao Tome and Principe,1970,6.468,55.858999999999995,73630.0,86.9,2196.0,Sub-Saharan Africa
Saudi Arabia,1970,7.28,52.692,5771846.0,182.27,39979.0,Middle East & North Africa
Senegal,1970,7.3389999999999995,39.227,4096245.0,290.5,2041.0,Sub-Saharan Africa
Serbia,1970,2.384,67.738,8172645.0,53.37,10197.0,Europe & Central Asia
Seychelles,1970,5.761,65.673,51659.0,71.9,6536.0,Sub-Saharan Africa
Sierra Leone,1970,6.697,34.601,2593123.0,334.6,1650.0,Sub-Saharan Africa
Singapore,1970,3.19,68.08800000000001,2074099.0,27.4,10336.0,East Asia & Pacific
Slovak Republic,1970,2.499,69.74,4509366.0,30.72,10978.0,Europe & Central Asia
Slovenia,1970,2.273,69.421,1669731.0,26.9,12524.0,Europe & Central Asia
Solomon Islands,1970,6.914,54.253,160256.0,107.2,1215.0,East Asia & Pacific
Somalia,1970,7.182,40.958,3601206.0,228.13,1083.0,Sub-Saharan Africa
South Africa,1970,5.591,52.825,22502306.0,146.4,10394.0,Sub-Saharan Africa
South Sudan,1970,6.881,35.793,3020949.0,329.6,2233.0,Sub-Saharan Africa
Spain,1970,2.872,72.24,33791761.0,29.2,12233.0,Europe & Central Asia
Sri Lanka,1970,4.342,64.11399999999999,12554583.0,71.0,2044.0,South Asia
Sudan,1970,6.888,52.231,11744590.0,154.6,2022.0,Sub-Saharan Africa
Suriname,1970,5.653,63.268,372297.0,69.66,8786.0,America
Swaziland,1970,6.875,48.045,445735.0,174.8,3971.0,Sub-Saharan Africa
Sweden,1970,1.919,74.7,8042839.0,13.4,22054.0,Europe & Central Asia
Switzerland,1970,2.121,73.14,6169124.0,18.4,36582.0,Europe & Central Asia
Syria,1970,7.572,59.163999999999994,6368017.0,105.2,2582.0,Middle East & North Africa
Taiwan,1970,3.932,68.65,14598000.0,,5144.0,East Asia & Pacific
Tajikistan,1970,6.877999999999999,60.126999999999995,2941501.0,157.53,4703.0,Europe & Central Asia
Tanzania,1970,6.771,46.714,13604523.0,213.8,1391.0,Sub-Saharan Africa
Thailand,1970,5.595,59.519,36915397.0,99.7,2323.0,East Asia & Pacific
Togo,1970,7.084,46.568000000000005,2097273.0,224.7,1878.0,Sub-Saharan Africa
Tonga,1970,5.941,64.876,84369.0,50.2,1718.0,East Asia & Pacific
Trinidad and Tobago,1970,3.554,65.081,967658.0,51.6,11495.0,America
Tunisia,1970,6.438,51.133,5127001.0,180.6,2990.0,Middle East & North Africa
Turkey,1970,5.563,52.291000000000004,35464196.0,186.9,6740.0,Europe & Central Asia
Turkmenistan,1970,6.3020000000000005,58.468,2188499.0,125.67,10045.0,Europe & Central Asia
Uganda,1970,7.115,48.825,9445932.0,184.6,1079.0,Sub-Saharan Africa
Ukraine,1970,2.0469999999999997,70.87,47316501.0,35.23,7850.0,Europe & Central Asia
United Arab Emirates,1970,6.605,61.614,231754.0,98.4,42822.0,Middle East & North Africa
United Kingdom,1970,2.294,72.0,55645390.0,21.0,16933.0,Europe & Central Asia
United States,1970,2.461,70.92,209463865.0,23.3,23908.0,America
Uruguay,1970,2.9019999999999997,68.617,2809117.0,54.3,7934.0,America
Uzbekistan,1970,6.492000000000001,62.964,11972994.0,147.91,3321.0,Europe & Central Asia
Vanuatu,1970,6.272,52.369,85393.0,108.6,1678.0,East Asia & Pacific
Venezuela,1970,5.404,64.949,10680678.0,62.6,15390.0,America
Vietnam,1970,6.465,59.593999999999994,44927973.0,85.7,1053.0,East Asia & Pacific
Virgin Islands (U.S.),1970,5.167000000000001,67.708,64070.0,,,America
West Bank and Gaza,1970,7.862,55.736000000000004,1124591.0,131.99,1404.0,Middle East & North Africa
Western Sahara,1970,6.62,42.067,76691.0,,,Middle East & North Africa
"Yemen, Rep.",1970,7.542000000000001,41.176,6144992.0,,,Middle East & North Africa
Zimbabwe,1970,7.417000000000001,54.918,5206229.0,110.4,2521.0,Sub-Saharan Africa
